ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849148::Comments,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075852278::Extended Notes Order  [read only],1075848978::Type  [read only],1075849017::Attribute,1075849056::Physical Data Type,1075849060::Percent Null,1075849062::Null Option,1075849102::View Column Expression,1075849115::Empty Is Null,1075849117::Read Only,1075849121::Data Sources  [read only],1075849122::DS Comment,1075849125::Row GUID,1075849131::Physical Order  [read only],1075849136::Parent Attribute  [read only],1075849137::Parent Relationship  [read only],1075849172::Physical Only,1075849173::Logical Only,1075849201::Logical Data Type,1075849452::Domain Parent,1075849722::Is Not For Replication,1075849731::Font Color,1075849769::Generated Identity,1075849842::Color Is Inherited,1075849843::Font Inherited,1075849998::Font Size,1075849999::Font Bold,1075850000::Font Italic,1075850008::Update Attribute Definition to Match,1075850017::Starting Value,1075850018::Increment By,1075850085::Attribute Order  [read only],1075850088::Column Order  [read only],1075850089::Theme,1075850186::Expression,1075850237::Logical Lead Attribute  [read only],1075850245::Physical Lead Attribute  [read only],1075850297::Font Charset,1075850521::Check Constraint Inheritance Prohibited,1075850522::Default Constraint Inheritance Prohibited,1075850564::Collation,1075850637::Populate All Rows With Default Value,1075850700::Persisted,1075850734::XML Document Type,1075850736::XML Schema Collection,1075850744::Sparse,1075851000::Is Filestream,1075851001::Is Sparse Column Set,1075851147::Font,1075851148::Font Name,1075851149::Font Strikethrough,1075851150::Font Underscore,1075851212::Average Width,1075851250::Is Encrypted,1075851720::Image,1075852305::Column Mask Function,1075852321::Column Encryption Key,1075852322::Encryption Type,1075852340::Hidden,1075852464::Password,1075852560::PII,1075853568::Column Class,1075853916::Attribute Data Vault Complaincy
"1075838981::1696","CurrencyRateID",Column,"Primary key for CurrencyRate records.","CurrencyRateID","Primary key for CurrencyRate records.","CurrencyRateID","CurrencyRate,CurrencyRateID,CurrencyRateID","CurrencyRateID","","Primary Key","","int","","Not Null","","","","","","","1","","","","","INTEGER","Number","false","8470830","true","","","10","false","false","","1","1","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1697","CurrencyRateDate",Column,"Date and time the exchange rate was obtained.","CurrencyRateDate","Date and time the exchange rate was obtained.","CurrencyRateDate","CurrencyRate,CurrencyRateDate","CurrencyRateDate","","Non Primary Key","","datetime","","Not Null","","","","","","","2","","","","","TIMESTAMP","Datetime","","0","","","","10","false","false","","","","2","2","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::1698","FromCurrencyCode",Column,"Exchange rate was converted from this currency code.","FromCurrencyCode","Exchange rate was converted from this currency code.","FromCurrencyCode","CurrencyRate,FromCurrencyCode,FromCurrencyCode","FromCurrencyCode","","Non Primary Key","","nchar(3)","","Not Null","","","","","","","3","CurrencyCode","FK_CurrencyRate_Currency_FromCurrencyCode (Currency to CurrencyRate)","","","NCHAR(3)","String","","12470272","","","","10","false","false","","","","3","3","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::1699","ToCurrencyCode",Column,"Exchange rate was converted to this currency code.","ToCurrencyCode","Exchange rate was converted to this currency code.","ToCurrencyCode","CurrencyRate,ToCurrencyCode,ToCurrencyCode","ToCurrencyCode","","Non Primary Key","","nchar(3)","","Not Null","","","","","","","4","CurrencyCode","FK_CurrencyRate_Currency_ToCurrencyCode (Currency to CurrencyRate)","","","NCHAR(3)","String","","12470272","","","","10","false","false","","","","4","4","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default String Icon","","","","false","","","",""
"1075838981::1700","AverageRate",Column,"Average exchange rate for the day.","AverageRate","Average exchange rate for the day.","AverageRate","CurrencyRate","AverageRate","","Non Primary Key","","money","","Not Null","","","","","","","5","","","","","MONEY","Number","","8470830","","","","10","false","false","","","","5","5","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1701","EndOfDayRate",Column,"Final exchange rate for the day.","EndOfDayRate","Final exchange rate for the day.","EndOfDayRate","CurrencyRate","EndOfDayRate","","Non Primary Key","","money","","Not Null","","","","","","","6","","","","","MONEY","Number","","8470830","","","","10","false","false","","","","6","6","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1702","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","CurrencyRate","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","7","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","7","7","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::1713","CustomerID",Column,"Primary key.","CustomerID","Primary key.","CustomerID","Customer,CustomerID,CustomerID","CustomerID","","Primary Key","","int","","Not Null","","","","","","","1","","","","","INTEGER","Number","true","8470830","true","","","10","false","false","","1","1","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1714","PersonID",Column,"Foreign key to Person.BusinessEntityID","PersonID","Foreign key to Person.BusinessEntityID","PersonID","Customer,PersonID","PersonID","","Non Primary Key","","int","4","Null","","","","","","","2","BusinessEntityID","FK_Customer_Person_PersonID (Person to Customer)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","2","2","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1715","StoreID",Column,"Foreign key to Store.BusinessEntityID","StoreID","Foreign key to Store.BusinessEntityID","StoreID","Customer,StoreID","StoreID","","Non Primary Key","","int","94","Null","","","","","","","3","BusinessEntityID","FK_Customer_Store_StoreID (Store to Customer)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","3","3","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1716","TerritoryID",Column,"ID of the territory in which the customer is located. Foreign key to SalesTerritory.SalesTerritoryID.","TerritoryID","ID of the territory in which the customer is located. Foreign key to SalesTerritory.SalesTerritoryID.","TerritoryID","Customer,TerritoryID","TerritoryID","","Non Primary Key","","int","0","Null","","","","","","","4","TerritoryID","FK_Customer_SalesTerritory_TerritoryID (SalesTerritory to Customer)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","4","4","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1717","AccountNumber",Column,"Unique number identifying the customer assigned by the accounting system.","AccountNumber","Unique number identifying the customer assigned by the accounting system.","AccountNumber","Customer,AccountNumber","AccountNumber","","Non Primary Key","","CHAR(18)","","Not Null","","","","","","","5","","","","","CHAR(18)","String","","0","","","","10","false","false","","","","5","5","","(isnull('AW'+[dbo].[ufnLeadingZeros]([CustomerID]),''))","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","false","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","10","","Default String Icon","","","","false","","","",""
"1075838981::1718","rowguid",Column,"ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.","rowguid","ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.","rowguid","Customer,rowguid","rowguid","","Non Primary Key","","uniqueidentifier","","Not Null","","","","","","Yes","6","","","","","UNIQUEID","Number","","0","","","","10","false","false","","","","6","6","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1719","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","Customer","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","7","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","7","7","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::1736","BusinessEntityID",Column,"Business entity identification number. Foreign key to Person.BusinessEntityID.","BusinessEntityID","Business entity identification number. Foreign key to Person.BusinessEntityID.","BusinessEntityID","PersonCreditCard,BusinessEntityID,BusinessEntityID","BusinessEntityID","","Primary Key","","int","","Not Null","","","","","","","1","BusinessEntityID","FK_PersonCreditCard_Person_BusinessEntityID (Person to PersonCreditCard)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1737","CreditCardID",Column,"Credit card identification number. Foreign key to CreditCard.CreditCardID.","CreditCardID","Credit card identification number. Foreign key to CreditCard.CreditCardID.","CreditCardID","PersonCreditCard,CreditCardID,CreditCardID","CreditCardID","","Primary Key","","int","","Not Null","","","","","","","2","CreditCardID","FK_PersonCreditCard_CreditCard_CreditCardID (CreditCard to PersonCreditCard)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","2","2","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1738","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","PersonCreditCard","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","3","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::1745","SalesOrderID",Column,"Primary key. Foreign key to SalesOrderHeader.SalesOrderID.","SalesOrderID","Primary key. Foreign key to SalesOrderHeader.SalesOrderID.","SalesOrderID","SalesOrderDetail,SalesOrderID,SalesOrderID","SalesOrderID","","Primary Key","","int","","Not Null","","","","","","","1","SalesOrderID","FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID (SalesOrderHeader to SalesOrderDetail)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1746","SalesOrderDetailID",Column,"Primary key. One incremental unique number per product sold.","SalesOrderDetailID","Primary key. One incremental unique number per product sold.","SalesOrderDetailID","SalesOrderDetail,SalesOrderDetailID","SalesOrderDetailID","","Primary Key","","int","","Not Null","","","","","","","2","","","","","INTEGER","Number","false","8470830","true","","","10","false","false","","1","1","2","2","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1747","CarrierTrackingNumber",Column,"Shipment tracking number supplied by the shipper.","CarrierTrackingNumber","Shipment tracking number supplied by the shipper.","CarrierTrackingNumber","SalesOrderDetail","CarrierTrackingNumber","","Non Primary Key","","nvarchar(25)","50","Null","","","","","","","3","","","","","NVARCHAR(25)","String","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","24","","Default String Icon","","","","false","","","",""
"1075838981::1748","OrderQty",Column,"Quantity ordered per product.","OrderQty","Quantity ordered per product.","OrderQty","SalesOrderDetail","OrderQty","","Non Primary Key","","smallint","","Not Null","","","","","","","4","","","","","SMALLINT","Number","","8470830","","","","10","false","false","","","","4","4","","","","","Western","true","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1749","ProductID",Column,"Product sold to customer. Foreign key to Product.ProductID.","ProductID","Product sold to customer. Foreign key to Product.ProductID.","ProductID","SalesOrderDetail,ProductID,ProductID","ProductID","","Non Primary Key","","int","","Not Null","","","","","","","5","ProductID","FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID (SpecialOfferProduct to SalesOrderDetail)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","5","5","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1750","SpecialOfferID",Column,"Promotional code. Foreign key to SpecialOffer.SpecialOfferID.","SpecialOfferID","Promotional code. Foreign key to SpecialOffer.SpecialOfferID.","SpecialOfferID","SalesOrderDetail,SpecialOfferID","SpecialOfferID","","Non Primary Key","","int","","Not Null","","","","","","","6","SpecialOfferID","FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID (SpecialOfferProduct to SalesOrderDetail)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","6","6","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1751","UnitPrice",Column,"Selling price of a single product.","UnitPrice","Selling price of a single product.","UnitPrice","SalesOrderDetail","UnitPrice","","Non Primary Key","","money","","Not Null","","","","","","","7","","","","","MONEY","Number","","8470830","","","","10","false","false","","","","7","7","","","","","Western","true","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1752","UnitPriceDiscount",Column,"Discount amount.","UnitPriceDiscount","Discount amount.","UnitPriceDiscount","SalesOrderDetail","UnitPriceDiscount","","Non Primary Key","","money","","Not Null","","","","","","","8","","","","","MONEY","Number","","8470830","","","","10","false","false","","","","8","8","","","","","Western","true","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1753","LineTotal",Column,"Per product subtotal. Computed as UnitPrice * (1 - UnitPriceDiscount) * OrderQty.","LineTotal","Per product subtotal. Computed as UnitPrice * (1 - UnitPriceDiscount) * OrderQty.","LineTotal","SalesOrderDetail","LineTotal","","Non Primary Key","","CHAR(18)","","Not Null","","","","","","","9","","","","","CHAR(18)","String","","8470830","","","","10","false","false","","","","9","9","","(isnull(([UnitPrice]*((1.0)-[UnitPriceDiscount]))*[OrderQty],(0.0)))","","","Western","","","","","false","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","5","","Default String Icon","","","","false","","","",""
"1075838981::1754","rowguid",Column,"ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.","rowguid","ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.","rowguid","SalesOrderDetail,rowguid","rowguid","","Non Primary Key","","uniqueidentifier","","Not Null","","","","","","Yes","10","","","","","UNIQUEID","Number","","0","","","","10","false","false","","","","10","10","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1755","ModifiedDate",Column,"Date and time the record was last updated.","ModifiedDate","Date and time the record was last updated.","ModifiedDate","SalesOrderDetail","ModifiedDate","","Non Primary Key","","datetime","","Not Null","","","","","","","11","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","11","11","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::1779","SalesOrderID",Column,"Primary key.","SalesOrderID","Primary key.","SalesOrderID","SalesOrderHeader,SalesOrderID,SalesOrderID,SalesOrderID","SalesOrderID","","Primary Key","","int","","Not Null","","","","","","","1","","","","","INTEGER","Number","true","8470830","true","","","10","false","false","","1","1","1","1","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1780","RevisionNumber",Column,"Incremental number to track changes to the sales order over time.","RevisionNumber","Incremental number to track changes to the sales order over time.","RevisionNumber","SalesOrderHeader","RevisionNumber","","Non Primary Key","","tinyint","","Not Null","","","","","","","2","","","","","BYTE","Number","","8470830","","","","10","false","false","","","","2","2","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1781","OrderDate",Column,"Dates the sales order was created.","OrderDate","Dates the sales order was created.","OrderDate","SalesOrderHeader","OrderDate","","Non Primary Key","","datetime","","Not Null","","","","","","","3","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","3","3","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::1782","DueDate",Column,"Date the order is due to the customer.","DueDate","Date the order is due to the customer.","DueDate","SalesOrderHeader","DueDate","","Non Primary Key","","datetime","","Not Null","","","","","","","4","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","4","4","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::1783","ShipDate",Column,"Date the order was shipped to the customer.","ShipDate","Date the order was shipped to the customer.","ShipDate","SalesOrderHeader","ShipDate","","Non Primary Key","","datetime","0","Null","","","","","","","5","","","","","TIMESTAMP","Datetime","","8470830","","","","10","false","false","","","","5","5","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Datetime Icon","","","","false","","","",""
"1075838981::1784","Status",Column,"Order current status. 1 = In process; 2 = Approved; 3 = Backordered; 4 = Rejected; 5 = Shipped; 6 = Cancelled","Status","Order current status. 1 = In process; 2 = Approved; 3 = Backordered; 4 = Rejected; 5 = Shipped; 6 = Cancelled","Status","SalesOrderHeader","Status","","Non Primary Key","","tinyint","","Not Null","","","","","","","6","","","","","BYTE","Number","","8470830","","","","10","false","false","","","","6","6","","","","","Western","true","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1785","OnlineOrderFlag",Column,"0 = Order placed by sales person. 1 = Order placed online by customer.","OnlineOrderFlag","0 = Order placed by sales person. 1 = Order placed online by customer.","OnlineOrderFlag","SalesOrderHeader","OnlineOrderFlag","","Non Primary Key","","bit","","Not Null","","","","","","","7","","","","","SMALLINT","Flag","","8470830","","","","10","false","false","","","","7","7","","","","","Western","","true","","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1786","SalesOrderNumber",Column,"Unique sales order identification number.","SalesOrderNumber","Unique sales order identification number.","SalesOrderNumber","SalesOrderHeader,SalesOrderNumber","SalesOrderNumber","","Non Primary Key","","CHAR(18)","","Not Null","","","","","","","8","","","","","CHAR(18)","String","","0","","","","10","false","false","","","","8","8","","(isnull(N'SO'+CONVERT([nvarchar](23),[SalesOrderID]),N'*** ERROR ***'))","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","false","","","","","","Microsoft Sans Serif 10 Western","Microsoft Sans Serif","false","false","14","","Default String Icon","","","","false","","","",""
"1075838981::1787","PurchaseOrderNumber",Column,"Customer purchase order number reference. ","PurchaseOrderNumber","Customer purchase order number reference. ","PurchaseOrderNumber","SalesOrderHeader","PurchaseOrderNumber","","Non Primary Key","","nvarchar(25)","88","Null","","","","","","","9","","","","","NVARCHAR(25)","OrderNumber","","8470830","","","","10","false","false","","","","9","9","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","24","","Default String Icon","","","","false","","","",""
"1075838981::1788","AccountNumber",Column,"Financial accounting number reference.","AccountNumber","Financial accounting number reference.","AccountNumber","SalesOrderHeader","AccountNumber","","Non Primary Key","","nvarchar(15)","0","Null","","","","","","","10","","","","","NVARCHAR(15)","AccountNumber","","8470830","","","","10","false","false","","","","10","10","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","28","","Default String Icon","","","","false","","","",""
"1075838981::1789","CustomerID",Column,"Customer identification number. Foreign key to Customer.BusinessEntityID.","CustomerID","Customer identification number. Foreign key to Customer.BusinessEntityID.","CustomerID","SalesOrderHeader,CustomerID","CustomerID","","Non Primary Key","","int","","Not Null","","","","","","","11","CustomerID","FK_SalesOrderHeader_Customer_CustomerID (Customer to SalesOrderHeader)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","11","11","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1790","SalesPersonID",Column,"Sales person who created the sales order. Foreign key to SalesPerson.BusinessEntityID.","SalesPersonID","Sales person who created the sales order. Foreign key to SalesPerson.BusinessEntityID.","SalesPersonID","SalesOrderHeader,SalesPersonID","SalesPersonID","","Non Primary Key","","int","88","Null","","","","","","","12","BusinessEntityID","FK_SalesOrderHeader_SalesPerson_SalesPersonID (SalesPerson to SalesOrderHeader)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","12","12","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1791","TerritoryID",Column,"Territory in which the sale was made. Foreign key to SalesTerritory.SalesTerritoryID.","TerritoryID","Territory in which the sale was made. Foreign key to SalesTerritory.SalesTerritoryID.","TerritoryID","SalesOrderHeader,TerritoryID","TerritoryID","","Non Primary Key","","int","0","Null","","","","","","","13","TerritoryID","FK_SalesOrderHeader_SalesTerritory_TerritoryID (SalesTerritory to SalesOrderHeader)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","13","13","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1792","BillToAddressID",Column,"Customer billing address. Foreign key to Address.AddressID.","BillToAddressID","Customer billing address. Foreign key to Address.AddressID.","BillToAddressID","SalesOrderHeader,BillToAddressID","BillToAddressID","","Non Primary Key","","int","","Not Null","","","","","","","14","AddressID","FK_SalesOrderHeader_Address_BillToAddressID (Address to SalesOrderHeader)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","14","14","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1793","ShipToAddressID",Column,"Customer shipping address. Foreign key to Address.AddressID.","ShipToAddressID","Customer shipping address. Foreign key to Address.AddressID.","ShipToAddressID","SalesOrderHeader,ShipToAddressID","ShipToAddressID","","Non Primary Key","","int","","Not Null","","","","","","","15","AddressID","FK_SalesOrderHeader_Address_ShipToAddressID (Address to SalesOrderHeader)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","15","15","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1794","ShipMethodID",Column,"Shipping method. Foreign key to ShipMethod.ShipMethodID.","ShipMethodID","Shipping method. Foreign key to ShipMethod.ShipMethodID.","ShipMethodID","SalesOrderHeader,ShipMethodID","ShipMethodID","","Non Primary Key","","int","","Not Null","","","","","","","16","ShipMethodID","FK_SalesOrderHeader_ShipMethod_ShipMethodID (ShipMethod to SalesOrderHeader)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","16","16","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1795","CreditCardID",Column,"Credit card identification number. Foreign key to CreditCard.CreditCardID.","CreditCardID","Credit card identification number. Foreign key to CreditCard.CreditCardID.","CreditCardID","SalesOrderHeader,CreditCardID","CreditCardID","","Non Primary Key","","int","4","Null","","","","","","","17","CreditCardID","FK_SalesOrderHeader_CreditCard_CreditCardID (CreditCard to SalesOrderHeader)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","17","17","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
"1075838981::1796","CreditCardApprovalCode",Column,"Approval code provided by the credit card company.","CreditCardApprovalCode","Approval code provided by the credit card company.","CreditCardApprovalCode","SalesOrderHeader","CreditCardApprovalCode","","Non Primary Key","","varchar(15)","4","Null","","","","","","","18","","","","","VARCHAR(15)","String","","8470830","","","","10","false","false","","","","18","18","","","","","Western","","","SQL_Latin1_General_CP1_CI_AS","","","","","","","","Microsoft Sans Serif 10 Red:46 Green: 65 Blue: 129 Western","Microsoft Sans Serif","false","false","13","","Default String Icon","","","","false","","","",""
"1075838981::1797","CurrencyRateID",Column,"Currency exchange rate used. Foreign key to CurrencyRate.CurrencyRateID.","CurrencyRateID","Currency exchange rate used. Foreign key to CurrencyRate.CurrencyRateID.","CurrencyRateID","SalesOrderHeader,CurrencyRateID","CurrencyRateID","","Non Primary Key","","int","56","Null","","","","","","","19","CurrencyRateID","FK_SalesOrderHeader_CurrencyRate_CurrencyRateID (CurrencyRate to SalesOrderHeader)","","","INTEGER","Number","","12470272","","","","10","false","false","","","","19","19","","","","","Western","","","","","","","","","","","Microsoft Sans Serif 10 Red:0 Green: 72 Blue: 190 Western","Microsoft Sans Serif","false","false","","","Default Number Icon","","","","false","","","",""
